Match,Day,Date,Time,Stadium,City
Maccabi Petah Tikva vs Bnei Sakhnin,Saturday,2024-12-14,N/A,HaMoshava Stadium,Petach Tikva
Hapoel Hadera vs Hapoel Jerusalem,Saturday,2024-12-21,N/A,Shar-Tov Stadium,Netanya
Maccabi Haifa vs Maccabi Netanya,Saturday,2024-12-21,N/A,Sammy Ofer Stadium,Haifa
Maccabi Tel Aviv vs Maccabi Petah Tikva,Saturday,2024-12-21,N/A,Bloomfield Stadium,Tel Aviv
Ironi Kiryat Shmona vs Ashdod,Saturday,2024-12-21,N/A,Kiryat-Shmona Municipal Stadium,Kiryat Shmona
Beitar Jerusalem vs Ironi Tiberias,Saturday,2024-12-21,N/A,Teddy Stadium,Jerusalem
Maccabi Bnei Raina vs Hapoel Haifa,Saturday,2024-12-21,N/A,Green Stadium,Nazareth Illit
Bnei Sakhnin vs Hapoel Be'er Sheva,Saturday,2024-12-21,N/A,Doha Stadium,Sakhnin
Maccabi Haifa vs Maccabi Bnei Raina,Tuesday,2024-12-31,N/A,Sammy Ofer Stadium,Haifa
Maccabi Netanya vs Beitar Jerusalem,Tuesday,2024-12-31,N/A,Shar-Tov Stadium,Netanya
Hapoel Be'er Sheva vs Maccabi Tel Aviv,Tuesday,2024-12-31,N/A,Turner Stadium,Be'er Sheva
Ashdod vs Bnei Sakhnin,Tuesday,2024-12-31,N/A,Yud-Alef Stadium,Ashdod
Ironi Tiberias vs Ironi Kiryat Shmona,Tuesday,2024-12-31,N/A,Tiberias Municipal Stadium,Tiberias
Maccabi Petah Tikva vs Hapoel Hadera,Tuesday,2024-12-31,N/A,HaMoshava Stadium,Petach Tikva
Hapoel Jerusalem vs Hapoel Haifa,Tuesday,2024-12-31,N/A,Teddy Stadium,Jerusalem
Ironi Kiryat Shmona vs Maccabi Netanya,Saturday,2025-01-04,N/A,Kiryat-Shmona Municipal Stadium,Kiryat Shmona
Bnei Sakhnin vs Ironi Tiberias,Saturday,2025-01-04,N/A,Doha Stadium,Sakhnin
Hapoel Haifa vs Maccabi Petah Tikva,Saturday,2025-01-04,N/A,Sammy Ofer Stadium,Haifa
Hapoel Hadera vs Hapoel Be'er Sheva,Saturday,2025-01-04,N/A,Shar-Tov Stadium,Netanya
Beitar Jerusalem vs Maccabi Haifa,Saturday,2025-01-04,N/A,Teddy Stadium,Jerusalem
Maccabi Tel Aviv vs Ashdod,Saturday,2025-01-04,N/A,Bloomfield Stadium,Tel Aviv
Maccabi Bnei Raina vs Hapoel Jerusalem,Saturday,2025-01-04,N/A,Green Stadium,Nazareth Illit
Hapoel Be'er Sheva vs Hapoel Haifa,Saturday,2025-01-11,N/A,Turner Stadium,Be'er Sheva
Maccabi Haifa vs Ironi Kiryat Shmona,Saturday,2025-01-11,N/A,Sammy Ofer Stadium,Haifa
Ironi Tiberias vs Maccabi Tel Aviv,Saturday,2025-01-11,N/A,Tiberias Municipal Stadium,Tiberias
Maccabi Petah Tikva vs Hapoel Jerusalem,Saturday,2025-01-11,N/A,HaMoshava Stadium,Petach Tikva
Maccabi Netanya vs Bnei Sakhnin,Saturday,2025-01-11,N/A,Shar-Tov Stadium,Netanya
Ashdod vs Hapoel Hadera,Saturday,2025-01-11,N/A,Yud-Alef Stadium,Ashdod
Bnei Sakhnin vs Maccabi Haifa,Saturday,2025-01-18,N/A,Doha Stadium,Sakhnin
Hapoel Hadera vs Ironi Tiberias,Saturday,2025-01-18,N/A,Shar-Tov Stadium,Netanya
Ironi Kiryat Shmona vs Beitar Jerusalem,Saturday,2025-01-18,N/A,Kiryat-Shmona Municipal Stadium,Kiryat Shmona
Hapoel Haifa vs Ashdod,Saturday,2025-01-18,N/A,Sammy Ofer Stadium,Haifa
Maccabi Tel Aviv vs Maccabi Netanya,Saturday,2025-01-18,N/A,Bloomfield Stadium,Tel Aviv
Hapoel Jerusalem vs Hapoel Be'er Sheva,Saturday,2025-01-18,N/A,Teddy Stadium,Jerusalem
Maccabi Bnei Raina vs Maccabi Petah Tikva,Saturday,2025-01-18,N/A,Green Stadium,Nazareth Illit
Ironi Tiberias vs Hapoel Haifa,Saturday,2025-01-25,N/A,Tiberias Municipal Stadium,Tiberias
Maccabi Netanya vs Hapoel Hadera,Saturday,2025-01-25,N/A,Shar-Tov Stadium,Netanya
Ashdod vs Hapoel Jerusalem,Saturday,2025-01-25,N/A,Yud-Alef Stadium,Ashdod
Ironi Kiryat Shmona vs Maccabi Bnei Raina,Saturday,2025-01-25,N/A,Kiryat-Shmona Municipal Stadium,Kiryat Shmona
Maccabi Haifa vs Maccabi Tel Aviv,Saturday,2025-01-25,N/A,Sammy Ofer Stadium,Haifa
Beitar Jerusalem vs Bnei Sakhnin,Saturday,2025-01-25,N/A,Teddy Stadium,Jerusalem
Hapoel Be'er Sheva vs Maccabi Petah Tikva,Saturday,2025-01-25,N/A,Turner Stadium,Be'er Sheva
Maccabi Petah Tikva vs Ashdod,Saturday,2025-02-01,N/A,HaMoshava Stadium,Petach Tikva
Hapoel Hadera vs Maccabi Haifa,Saturday,2025-02-01,N/A,Shar-Tov Stadium,Netanya
Hapoel Haifa vs Maccabi Netanya,Saturday,2025-02-01,N/A,Sammy Ofer Stadium,Haifa
Maccabi Tel Aviv vs Beitar Jerusalem,Saturday,2025-02-01,N/A,Bloomfield Stadium,Tel Aviv
Hapoel Jerusalem vs Ironi Tiberias,Saturday,2025-02-01,N/A,Teddy Stadium,Jerusalem
Maccabi Bnei Raina vs Hapoel Be'er Sheva,Saturday,2025-02-01,N/A,Green Stadium,Nazareth Illit
Bnei Sakhnin vs Ironi Kiryat Shmona,Saturday,2025-02-01,N/A,Doha Stadium,Sakhnin
Maccabi Netanya vs Hapoel Jerusalem,Saturday,2025-02-08,N/A,Shar-Tov Stadium,Netanya
